Date,Symbol,rv5_ss,open_time,rk_twoscale,nobs,close_price,bv_ss,rv10,open_price,bv,close_time,rv5,rsv_ss,medrv,rsv,open_to_close,rk_th2,rv10_ss,rk_parzen
2009-04-14 00:00:00+01:00,.OMXHPI,0.000332995,115546,0.000236858,1017,5097.9,0.00021379,0.000442203,4978.53,0.00021379,194801,0.000332995,9.89e-05,8.57e-05,9.89e-05,0.023694022999999998,0.000246684,0.000442203,0.000517531
2009-04-15 00:00:00+01:00,.OMXHPI,0.000182865,110030,0.000195152,1040,5015.56,0.00019041700000000002,0.00025557,5071.46,0.00019041700000000002,192930,0.000182865,0.000123172,6.0299999999999995e-05,0.000123172,-0.011083663999999998,0.000204834,0.00025557,0.0001255
2009-04-16 00:00:00+01:00,.OMXHPI,0.000670345,110001,0.000977148,1043,5278.84,0.000643874,0.0009828460000000001,5015.56,0.000643874,192930,0.000670345,0.000132879,0.000166871,0.000132879,0.051161295999999995,0.000961571,0.0009828460000000001,0.00153811
2009-04-17 00:00:00+01:00,.OMXHPI,0.000281436,110101,0.000276015,1039,5404.03,0.00022370099999999998,0.000272031,5324.96,0.00022370099999999998,193001,0.000281436,9.02e-05,0.000151338,9.02e-05,0.014739772,0.000285278,0.000272031,0.00012187700000000001
2009-04-20 00:00:00+01:00,.OMXHPI,0.00029177799999999997,110002,0.000241479,803,5251.05,0.00025116900000000003,0.000274137,5404.03,0.00025116900000000003,192944,0.00029177799999999997,0.000198985,0.000111526,0.000198985,-0.028716915,0.000253478,0.000274137,0.000296572
2009-04-21 00:00:00+01:00,.OMXHPI,0.00036518699999999994,130500,0.000299624,795,5297.41,0.000319254,0.00039919699999999995,5293.48,0.000319254,194801,0.00036518699999999994,0.00019125099999999998,0.000157684,0.00019125099999999998,0.000742147,0.000322481,0.00039919699999999995,0.00056193
2009-04-22 00:00:00+01:00,.OMXHPI,0.000271898,110000,0.000323237,1040,5410.5,0.000307516,0.000344771,5297.41,0.000307516,192901,0.000271898,0.00011577299999999999,0.00020450900000000002,0.00011577299999999999,0.021123488,0.00033422199999999996,0.000344771,0.00039733300000000004
2009-04-23 00:00:00+01:00,.OMXHPI,0.00027743099999999997,110002,0.00025079599999999996,1033,5406.58,0.000246677,0.000300893,5410.5,0.000246677,193001,0.00027743099999999997,0.000163215,0.00013253,0.000163215,-0.00072478,0.000261386,0.000300893,0.000264733
2009-04-24 00:00:00+01:00,.OMXHPI,0.000231003,110000,0.000213888,1025,5429.94,0.00017166900000000003,0.000142945,5406.58,0.00017166900000000003,193000,0.000231003,0.000152349,3.86e-05,0.000152349,0.004311354,0.000211345,0.000142945,0.000179499
2009-04-27 00:00:00+01:00,.OMXHPI,0.000200852,110100,0.000153635,1025,5383.31,0.000143702,0.000216399,5377.74,0.000143702,193001,0.000200852,0.000128565,5.07e-05,0.000128565,0.001035215,0.000164387,0.000216399,0.00015263
